TicketId,SeatId,GameId,CustomerId,SalesChannelId,PricePaid,Discount,SaleDate,Fees,IsRenewal,OrderId
30001,2628,1015,2966,1,89.29,8.6,2023-10-10,6.25,1,530001
30002,1513,1015,4452,1,120.99,0.0,2023-11-13,8.47,1,530002
30003,365,1015,1070,2,105.2,12.19,2023-10-05,7.36,0,530003
30004,909,1015,3510,4,125.4,0.0,2023-09-07,8.78,0,530004
30005,1746,1015,3111,4,129.22,0.0,2023-11-18,9.05,0,530005
30006,769,1015,4852,4,111.72,0.0,2023-11-03,7.82,0,530006
30007,5633,1015,4863,1,26.32,0.0,2023-09-16,1.84,0,530007
30008,2022,1015,2899,3,118.1,5.08,2023-11-16,8.27,0,530008
30009,5591,1015,1842,1,46.64,0.0,2023-11-19,3.26,0,530009
30010,5670,1015,1387,2,42.0,0.0,2023-11-16,2.94,0,530010
30011,5990,1015,5544,2,50.32,0.0,2023-11-06,3.52,0,530011
30012,5209,1015,5074,2,45.04,0.0,2023-10-28,3.15,0,530012
30013,4121,1015,5826,2,75.92,11.83,2023-10-07,5.31,0,530013
30014,398,1015,3447,4,133.09,0.0,2023-09-17,9.32,0,530014
30015,1324,1015,3127,3,95.61,9.25,2023-11-07,6.69,0,530015
30016,302,1015,2568,1,125.42,13.42,2023-09-17,8.78,0,530016
30017,1127,1015,1209,1,90.62,0.0,2023-08-27,6.34,0,530017
30018,5539,1015,116,1,50.46,11.35,2023-10-29,3.53,0,530018
30019,1542,1015,1607,2,148.79,6.74,2023-09-09,10.42,0,530019
30020,2800,1015,2594,1,89.77,10.72,2023-11-18,6.28,1,530020
30021,5038,1015,3989,1,38.63,4.85,2023-09-11,2.7,0,530021
30022,1254,1015,2596,2,89.6,5.36,2023-11-07,6.27,0,530022
30023,254,1015,5857,1,134.11,8.99,2023-10-30,9.39,0,530023
30024,2868,1015,2290,1,94.0,0.0,2023-10-22,6.58,0,530024
30025,1088,1015,1489,1,136.35,2.0,2023-09-18,9.54,0,530025
30026,5807,1015,5765,1,41.52,0.0,2023-09-10,2.91,0,530026
30027,3993,1015,2110,3,67.7,0.67,2023-10-10,4.74,0,530027
30028,411,1015,183,2,119.86,0.0,2023-11-07,8.39,1,530028
