TicketId,SeatId,GameId,CustomerId,SalesChannelId,PricePaid,Discount,SaleDate,Fees,IsRenewal,OrderId
10001,2946,1005,4116,1,90.96,0.0,2023-10-01,6.37,1,510001
10002,590,1005,3822,3,106.0,0.0,2023-07-31,7.42,0,510002
10003,11,1005,3265,1,115.15,8.75,2023-08-06,8.06,1,510003
10004,894,1005,2638,1,95.2,0.0,2023-09-29,6.66,0,510004
10005,3384,1005,5680,3,89.25,0.0,2023-09-30,6.25,0,510005
10006,387,1005,3514,2,114.28,0.0,2023-07-31,8.0,0,510006
10007,6210,1005,1703,4,42.84,0.0,2023-09-06,3.0,0,510007
10008,109,1005,4285,1,136.6,9.67,2023-09-06,9.56,0,510008
10009,3630,1005,5768,1,81.4,0.0,2023-09-15,5.7,0,510009
10010,4916,1005,2561,1,58.1,9.35,2023-08-05,4.07,1,510010
10011,1685,1005,2619,1,134.33,3.81,2023-09-04,9.4,0,510011
10012,4720,1005,241,4,57.29,0.0,2023-10-19,4.01,0,510012
10013,2543,1005,5861,1,96.86,0.0,2023-10-17,6.78,0,510013
10014,4266,1005,5766,1,87.79,0.0,2023-10-18,6.15,0,510014
10015,1578,1005,5652,2,125.52,0.88,2023-10-18,8.79,1,510015
10016,1880,1005,810,4,124.02,0.0,2023-09-05,8.68,1,510016
10017,2835,1005,5155,2,95.67,0.0,2023-09-09,6.7,1,510017
10018,2071,1005,738,1,89.33,1.22,2023-08-09,6.25,0,510018
10019,2843,1005,2498,1,98.86,0.0,2023-10-11,6.92,0,510019
10020,5851,1005,3659,3,46.16,0.0,2023-08-24,3.23,0,510020
10021,1710,1005,5010,1,115.15,0.0,2023-08-16,8.06,1,510021
10022,2778,1005,4697,2,85.65,0.0,2023-08-14,6.0,1,510022
10023,5770,1005,3337,3,50.41,0.0,2023-09-03,3.53,1,510023
10024,1619,1005,5678,2,145.78,0.0,2023-09-30,10.2,0,510024
10025,1543,1005,4979,1,118.15,0.83,2023-09-12,8.27,1,510025
10026,1284,1005,4576,1,146.74,0.0,2023-10-22,10.27,0,510026
10027,721,1005,4220,2,130.73,0.0,2023-10-11,9.15,0,510027
10028,285,1005,131,1,109.36,3.2,2023-09-15,7.65,0,510028
10029,4977,1005,2953,2,40.48,0.0,2023-09-03,2.83,0,510029
10030,2501,1005,2930,1,79.95,0.0,2023-09-08,5.6,0,510030
10031,6214,1005,199,4,55.25,0.72,2023-09-27,3.87,0,510031
10032,2569,1005,3891,3,80.67,3.81,2023-09-07,5.65,0,510032
10033,3983,1005,5984,3,67.63,2.2,2023-08-27,4.73,0,510033
10034,6007,1005,3566,1,47.42,3.63,2023-10-03,3.32,0,510034
10035,6051,1005,5210,1,43.44,14.82,2023-08-16,3.04,1,510035
10036,3136,1005,3113,3,91.9,2.2,2023-09-04,6.43,0,510036
10037,4336,1005,5174,1,86.31,0.0,2023-08-20,6.04,0,510037
10038,3754,1005,4044,1,89.22,1.04,2023-08-22,6.25,0,510038
10039,4308,1005,5055,2,78.07,0.0,2023-10-10,5.46,0,510039
10040,2350,1005,5396,1,121.17,0.0,2023-08-24,8.48,1,510040
10041,1878,1005,341,2,101.46,0.0,2023-09-26,7.1,0,510041
10042,5861,1005,4219,1,43.24,9.83,2023-09-07,3.03,1,510042
10043,5584,1005,394,3,43.06,0.05,2023-09-21,3.01,0,510043
10044,440,1005,1612,3,147.11,0.0,2023-09-10,10.3,0,510044
10045,4259,1005,1307,1,98.25,2.51,2023-07-29,6.88,0,510045
10046,3701,1005,5795,1,94.39,0.0,2023-10-20,6.61,0,510046
10047,5157,1005,4722,1,53.52,7.93,2023-08-06,3.75,1,510047
10048,3186,1005,5193,2,94.64,0.0,2023-08-26,6.62,1,510048
10049,2409,1005,3960,1,117.8,6.47,2023-10-24,8.25,0,510049
