CustomerId,AccountId,Segment,Tenure,Zip,IncomeBand
1,100000,New,0,53242,100-150k
2,100001,Returning,2,51301,50-75k
3,100001,SeasonHolder,1,51238,150k+
4,100002,SeasonHolder,3,54881,100-150k
5,100002,Returning,6,51277,150k+
6,100003,Returning,1,50116,<50k
7,100003,Returning,3,53553,50-75k
8,100004,SeasonHolder,4,50229,75-100k
9,100004,New,0,54105,50-75k
10,100005,SeasonHolder,6,52124,150k+
11,100005,Returning,3,50498,75-100k
12,100006,SeasonHolder,10,54233,100-150k
13,100006,SeasonHolder,9,51071,150k+
14,100007,New,0,54182,<50k
15,100007,SeasonHolder,3,54985,<50k
16,100008,SeasonHolder,3,51411,50-75k
17,100008,Returning,2,54558,<50k
18,100009,New,0,54246,150k+
19,100009,Returning,2,54589,<50k
20,100010,New,0,52268,<50k
21,100010,SeasonHolder,9,53704,150k+
22,100011,New,0,50519,100-150k
23,100011,New,0,54141,150k+
24,100012,Returning,5,53705,150k+
25,100012,Returning,8,54159,50-75k
26,100013,Returning,5,54583,50-75k
27,100013,SeasonHolder,3,53413,<50k
28,100014,New,0,52588,<50k
29,100014,Returning,7,50599,50-75k
30,100015,Returning,2,51265,75-100k
31,100015,New,0,51124,100-150k
32,100016,New,0,50771,100-150k
33,100016,SeasonHolder,3,51832,50-75k
34,100017,Returning,9,53308,75-100k
35,100017,Returning,6,52609,<50k
36,100018,Returning,1,52768,150k+
37,100018,Returning,1,53148,75-100k
38,100019,Returning,5,54196,<50k
39,100019,New,0,51872,<50k
40,100020,New,0,52227,<50k
41,100020,SeasonHolder,3,52215,50-75k
42,100021,SeasonHolder,5,53325,50-75k
43,100021,Returning,9,54674,100-150k
44,100022,Returning,2,52286,<50k
45,100022,SeasonHolder,3,53484,<50k
46,100023,New,0,50137,<50k
47,100023,SeasonHolder,2,54982,50-75k
48,100024,New,0,50996,100-150k
49,100024,New,0,54530,100-150k
50,100025,SeasonHolder,5,51058,<50k
51,100025,Returning,4,50896,50-75k
52,100026,New,0,51483,50-75k
53,100026,SeasonHolder,5,54350,50-75k
54,100027,New,0,54096,50-75k
55,100027,New,0,50148,75-100k
56,100028,New,0,50151,150k+
57,100028,Returning,4,54212,100-150k
58,100029,New,0,53662,<50k
59,100029,Returning,7,54055,150k+
60,100030,SeasonHolder,7,54150,75-100k
61,100030,Returning,4,52807,50-75k
62,100031,SeasonHolder,3,53315,75-100k
63,100031,SeasonHolder,3,50116,<50k
64,100032,Returning,5,53528,50-75k
65,100032,New,0,53120,150k+
66,100033,Returning,5,54905,50-75k
67,100033,Returning,1,53763,50-75k
68,100034,New,0,53652,<50k
69,100034,New,0,52694,150k+
70,100035,New,0,50282,75-100k
71,100035,New,0,51498,<50k
72,100036,New,0,50687,100-150k
73,100036,New,0,51646,50-75k
74,100037,Returning,1,50744,75-100k
75,100037,SeasonHolder,3,53272,150k+
76,100038,New,0,50184,75-100k
77,100038,New,0,51907,<50k
78,100039,Returning,9,51271,150k+
79,100039,New,0,52671,100-150k
80,100040,New,0,51185,<50k
81,100040,SeasonHolder,9,53516,150k+
82,100041,New,0,54290,150k+
83,100041,Returning,1,54784,50-75k
84,100042,New,0,50342,50-75k
85,100042,Returning,2,53085,100-150k
86,100043,Returning,1,54353,50-75k
87,100043,Returning,1,53743,<50k
88,100044,Returning,9,54384,<50k
89,100044,Returning,2,53881,75-100k
90,100045,SeasonHolder,5,51923,50-75k
91,100045,New,0,53771,100-150k
92,100046,SeasonHolder,2,53924,75-100k
93,100046,SeasonHolder,10,51624,<50k
94,100047,Returning,6,52080,75-100k
95,100047,Returning,3,50102,100-150k
96,100048,New,0,52201,<50k
97,100048,Returning,8,52382,150k+
98,100049,New,0,53816,100-150k
99,100049,SeasonHolder,9,51632,75-100k
100,100050,SeasonHolder,8,50143,75-100k
101,100050,Returning,9,53681,75-100k
102,100051,New,0,51726,<50k
103,100051,Returning,3,54293,75-100k
104,100052,SeasonHolder,3,54942,150k+
105,100052,New,0,50923,75-100k
106,100053,New,0,53982,100-150k
107,100053,New,0,50029,100-150k
108,100054,Returning,7,52473,50-75k
109,100054,Returning,7,52589,<50k
110,100055,SeasonHolder,1,52658,75-100k
111,100055,SeasonHolder,2,51603,<50k
112,100056,SeasonHolder,5,52074,75-100k
113,100056,New,0,53196,150k+
114,100057,New,0,53506,75-100k
115,100057,SeasonHolder,5,50833,<50k
116,100058,SeasonHolder,5,51219,50-75k
117,100058,SeasonHolder,7,54185,75-100k
118,100059,New,0,53058,100-150k
119,100059,SeasonHolder,7,54539,150k+
120,100060,New,0,50660,<50k
121,100060,SeasonHolder,7,53693,150k+
122,100061,SeasonHolder,5,53977,<50k
123,100061,SeasonHolder,9,51042,50-75k
124,100062,Returning,6,52308,75-100k
125,100062,New,0,52131,100-150k
126,100063,Returning,5,53958,150k+
127,100063,Returning,2,51370,50-75k
128,100064,New,0,54100,100-150k
129,100064,Returning,8,52726,100-150k
130,100065,Returning,9,51576,50-75k
131,100065,New,0,52801,150k+
132,100066,New,0,51958,75-100k
133,100066,New,0,54666,50-75k
134,100067,SeasonHolder,7,53136,100-150k
135,100067,Returning,4,53087,75-100k
136,100068,New,0,50508,100-150k
137,100068,New,0,52950,50-75k
138,100069,Returning,9,51769,<50k
139,100069,New,0,52035,100-150k
140,100070,New,0,53652,100-150k
141,100070,SeasonHolder,1,51042,<50k
142,100071,Returning,8,54810,100-150k
143,100071,New,0,53207,150k+
144,100072,SeasonHolder,8,52035,<50k
145,100072,New,0,51245,150k+
146,100073,SeasonHolder,2,53746,<50k
147,100073,Returning,1,50011,50-75k
148,100074,New,0,50307,75-100k
149,100074,SeasonHolder,5,54327,100-150k
150,100075,Returning,2,50814,<50k
151,100075,New,0,54775,50-75k
152,100076,New,0,51831,150k+
153,100076,New,0,54403,75-100k
154,100077,SeasonHolder,5,52591,50-75k
155,100077,Returning,4,54481,50-75k
156,100078,New,0,53373,75-100k
157,100078,New,0,51590,100-150k
158,100079,SeasonHolder,7,50664,75-100k
159,100079,New,0,53476,75-100k
160,100080,New,0,50279,75-100k
161,100080,Returning,6,53246,50-75k
162,100081,New,0,52392,150k+
163,100081,New,0,54060,50-75k
164,100082,New,0,51588,50-75k
165,100082,Returning,5,52416,<50k
166,100083,SeasonHolder,8,54997,50-75k
167,100083,SeasonHolder,8,53416,<50k
168,100084,SeasonHolder,3,53223,<50k
169,100084,New,0,54883,50-75k
170,100085,Returning,1,51508,100-150k
171,100085,Returning,6,50927,<50k
172,100086,SeasonHolder,6,51562,50-75k
173,100086,Returning,9,53830,<50k
174,100087,New,0,53101,75-100k
175,100087,SeasonHolder,8,51386,<50k
176,100088,New,0,52292,<50k
177,100088,New,0,51013,150k+
178,100089,SeasonHolder,4,53114,75-100k
179,100089,SeasonHolder,5,53542,<50k
180,100090,New,0,53878,50-75k
181,100090,New,0,53656,50-75k
182,100091,New,0,53887,<50k
183,100091,Returning,4,53315,<50k
184,100092,New,0,53801,<50k
185,100092,SeasonHolder,1,52105,50-75k
186,100093,Returning,10,52777,75-100k
187,100093,New,0,50357,75-100k
188,100094,Returning,6,52257,75-100k
189,100094,New,0,54878,<50k
190,100095,New,0,51915,<50k
