TicketId,SeatId,GameId,CustomerId,SalesChannelId,PricePaid,Discount,SaleDate,Fees,IsRenewal,OrderId
20001,2774,1010,923,1,87.56,0.0,2023-09-10,6.13,0,520001
20002,5106,1010,2928,1,54.19,0.0,2023-11-06,3.79,0,520002
20003,195,1010,2165,1,131.09,0.0,2023-09-23,9.18,0,520003
20004,2772,1010,458,1,101.67,0.0,2023-10-22,7.12,0,520004
20005,4164,1010,3129,2,87.61,6.05,2023-09-22,6.13,1,520005
20006,2364,1010,4369,1,99.13,3.45,2023-09-10,6.94,0,520006
20007,726,1010,5196,2,105.76,6.15,2023-10-31,7.4,0,520007
20008,1268,1010,2564,1,100.37,4.97,2023-10-21,7.03,1,520008
20009,534,1010,5328,4,163.4,4.58,2023-08-31,11.44,0,520009
20010,64,1010,3769,1,115.35,0.0,2023-08-23,8.07,0,520010
20011,4550,1010,3461,1,49.04,0.0,2023-09-25,3.43,0,520011
20012,5446,1010,3786,2,51.6,3.76,2023-08-29,3.61,0,520012
20013,6273,1010,1071,1,49.05,2.7,2023-09-20,3.43,0,520013
20014,1277,1010,1382,1,107.27,3.66,2023-10-23,7.51,0,520014
20015,1134,1010,5205,2,100.82,2.26,2023-08-14,7.06,0,520015
20016,4639,1010,457,2,40.42,4.57,2023-09-02,2.83,0,520016
20017,5703,1010,427,2,44.58,6.62,2023-09-19,3.12,0,520017
20018,6353,1010,2087,4,41.09,0.0,2023-09-07,2.88,1,520018
20019,2441,1010,2502,2,148.62,3.09,2023-09-15,10.4,0,520019
20020,2076,1010,1392,1,129.07,8.58,2023-09-20,9.03,0,520020
20021,3356,1010,5862,3,89.93,0.0,2023-10-12,6.3,0,520021
20022,661,1010,2654,1,107.66,0.0,2023-08-27,7.54,0,520022
20023,5910,1010,2460,3,48.15,0.0,2023-10-21,3.37,0,520023
20024,5218,1010,4089,1,49.47,3.72,2023-08-19,3.46,1,520024
20025,645,1010,5516,1,108.83,0.0,2023-09-24,7.62,0,520025
20026,2778,1010,5731,2,79.62,0.0,2023-10-13,5.57,1,520026
20027,6342,1010,137,1,52.62,0.0,2023-08-28,3.68,0,520027
20028,1065,1010,3032,1,104.74,0.0,2023-11-07,7.33,0,520028
20029,1089,1010,4301,2,159.75,0.0,2023-10-16,11.18,0,520029
20030,2634,1010,3738,2,91.65,4.97,2023-09-18,6.42,0,520030
20031,1026,1010,3116,3,114.63,5.87,2023-09-06,8.02,0,520031
20032,1413,1010,1871,2,105.53,0.0,2023-09-15,7.39,0,520032
20033,2786,1010,5261,1,100.22,4.66,2023-09-17,7.02,1,520033
20034,2254,1010,3485,1,109.54,0.0,2023-08-26,7.67,0,520034
20035,2443,1010,2106,2,112.22,0.0,2023-09-16,7.86,0,520035
20036,3553,1010,4473,1,83.84,2.36,2023-08-31,5.87,1,520036
20037,4702,1010,2219,4,44.33,5.85,2023-09-13,3.1,0,520037
20038,3743,1010,3671,2,90.37,9.49,2023-09-13,6.33,1,520038
20039,123,1010,3363,1,135.24,0.1,2023-10-18,9.47,0,520039
