TicketId,SeatId,GameId,CustomerId,SalesChannelId,PricePaid,Discount,SaleDate,Fees,IsRenewal,OrderId
40001,3743,1019,4277,3,82.16,3.87,2023-12-06,5.75,0,540001
40002,2481,1019,3387,1,114.71,2.37,2023-12-04,8.03,0,540002
40003,1957,1019,5793,4,112.71,0.0,2023-11-21,7.89,1,540003
40004,1791,1019,2962,4,114.51,8.59,2023-11-28,8.02,0,540004
40005,4475,1019,3288,2,85.91,0.0,2023-11-01,6.01,0,540005
40006,1710,1019,1822,2,115.72,0.0,2023-11-23,8.1,0,540006
40007,5645,1019,5945,2,44.99,0.0,2023-09-27,3.15,1,540007
40008,1484,1019,1826,1,83.58,4.7,2023-09-16,5.85,0,540008
40009,5751,1019,34,2,44.04,0.0,2023-11-15,3.08,0,540009
40010,528,1019,3738,4,111.38,0.0,2023-09-20,7.8,0,540010
40011,5323,1019,2018,3,36.45,0.0,2023-11-10,2.55,0,540011
40012,989,1019,2632,1,124.7,0.0,2023-09-15,8.73,1,540012
40013,2696,1019,5228,1,84.18,8.95,2023-10-06,5.89,0,540013
40014,2280,1019,1929,3,110.31,3.3,2023-10-24,7.72,0,540014
40015,2298,1019,3160,1,117.42,5.54,2023-10-14,8.22,0,540015
40016,6132,1019,5541,4,41.82,0.0,2023-10-22,2.93,1,540016
40017,1386,1019,4402,2,124.58,0.0,2023-09-26,8.72,0,540017
40018,2244,1019,5788,4,134.49,3.35,2023-11-27,9.41,1,540018
40019,3031,1019,1346,1,53.71,0.44,2023-10-23,3.76,1,540019
40020,1993,1019,1197,2,124.04,0.0,2023-11-02,8.68,0,540020
40021,3961,1019,5071,2,73.83,0.0,2023-11-23,5.17,0,540021
40022,2153,1019,4408,1,126.69,7.32,2023-09-29,8.87,0,540022
40023,2062,1019,3773,3,114.63,0.0,2023-09-19,8.02,0,540023
40024,3750,1019,609,1,85.96,0.0,2023-10-26,6.02,0,540024
40025,2414,1019,4023,1,89.41,0.0,2023-11-21,6.26,1,540025
40026,5064,1019,1783,4,47.05,0.0,2023-12-04,3.29,0,540026
40027,5420,1019,4458,3,48.06,0.0,2023-10-19,3.36,0,540027
40028,2747,1019,2576,1,91.1,0.0,2023-09-19,6.38,0,540028
40029,2749,1019,5356,3,94.25,0.0,2023-11-11,6.6,0,540029
40030,5874,1019,5390,1,45.11,0.0,2023-10-03,3.16,0,540030
40031,1404,1019,3881,2,123.25,0.0,2023-11-06,8.63,0,540031
40032,3279,1019,2549,1,77.78,0.0,2023-11-04,5.44,0,540032
40033,1781,1019,3691,2,123.57,0.0,2023-10-29,8.65,1,540033
40034,974,1019,958,4,147.85,3.66,2023-10-24,10.35,0,540034
40035,3541,1019,3124,4,98.46,0.0,2023-10-30,6.89,0,540035
40036,2028,1019,5214,1,120.21,9.84,2023-09-24,8.41,1,540036
40037,844,1019,9,3,131.5,3.74,2023-11-29,9.2,0,540037
40038,518,1019,322,4,117.7,8.64,2023-11-26,8.24,0,540038
